name,birth,age,sport,event,team,medal,gender,full_name,height_cm,weight_kg,born_location,born_lat_lon,death,rank
√É¬Åron Szil√É¬°gyi,1990-01-14,22,Fencing,"Men's Sabre, Individual",Hungary,Gold,Male,√É¬Åron Szil√É¬°gyi,180,80,"Budapest, Budapest, Hungary","47.497912,19.040235",,1
Lili√É¬°na Szil√É¬°gyi,1996-11-19,15,Swimming,Women's 100 metres Butterfly,Hungary,,Female,Lili√É¬°na Szil√É¬°gyi,172,55,"Budapest, Budapest, Hungary","47.497912,19.040235",,34
Balazs Sziranyi,1983-01-10,29,Water Polo,Men's Water Polo,Spain,,Male,Balazs Marton Sziranyi Somogyi,196,108,"Budapest, Budapest, Hungary","47.497912,19.040235",,6
M√É¬°rton Sziv√É¬≥s,1981-08-19,30,Water Polo,Men's Water Polo,Hungary,,Male,M√É¬°rton Sziv√É¬≥s,193,91,"Budapest, Budapest, Hungary","47.497912,19.040235",,5
Matylda Szl√Ñ‚Ñ¢zak,1989-01-11,23,Athletics,"Women's 3,000 metres Steeplechase",Poland,,Female,Matylda Szl√Ñ‚Ñ¢zak,170,51,"Rzesz√É¬≥w, Podkarpackie, Poland","50.0409469,21.9992806",,14 h3 r1/2
Henryk Szost,1982-01-20,30,Athletics,Men's Marathon,Poland,,Male,Henryk J√É¬≥zef Szost,185,70,"Krynica-Zdr√É¬≥j, Ma√Ö‚Äöopolskie, Poland","49.4215158,20.9594208",,9
Micha√Ö‚Äö Szpakowski,1989-04-23,23,Rowing,Men's Coxed Eights,Poland,,Male,Micha√Ö‚Äö Szpakowski,196,99,"Toru√Ö‚Äû, Kujawsko-Pomorskie, Poland","53.0137902,18.5984437",,7
Anna Sztankovics,1996-01-10,16,Swimming,Women's 100 metres Breaststroke,Hungary,,Female,Anna Sztankovics,175,60,"Budapest, Budapest, Hungary","47.497912,19.040235",,31
Anna Sztankovics,1996-01-10,16,Swimming,Women's 200 metres Breaststroke,Hungary,,Female,Anna Sztankovics,175,60,"Budapest, Budapest, Hungary","47.497912,19.040235",,29
Anna Sztankovics,1996-01-10,16,Swimming,Women's 4 x 100 metres Medley Relay,Hungary,,Female,Anna Sztankovics,175,60,"Budapest, Budapest, Hungary","47.497912,19.040235",,AC
Gabriella Sz√Ö¬±cs,1988-03-07,24,Water Polo,Women's Water Polo,Hungary,,Female,Gabriella Sz√Ö¬±cs,183,74,"Sz√É¬©kesfeh√É¬©rv√É¬°r, Fej√É¬©r, Hungary","47.1860262,18.4221358",,4
Dawid Szulich,1990-05-19,22,Swimming,Men's 100 metres Breaststroke,Poland,,Male,Dawid Szulich,188,83,"Warsaw, Mazowieckie, Poland","52.2296756,21.0122287",,32T
Dawid Szulich,1990-05-19,22,Swimming,Men's 4 x 100 metres Medley Relay,Poland,,Male,Dawid Szulich,188,83,"Warsaw, Mazowieckie, Poland","52.2296756,21.0122287",,16
Agnieszka Szwarn√É¬≥g,1986-12-28,25,Athletics,Women's 20 kilometres Walk,Poland,,Female,Agnieszka Szwarn√É¬≥g,168,52,"My√Ö‚Ä∫lenice, Ma√Ö‚Äöopolskie, Poland","49.83347,19.93965",,22
Nugzar T\'at\'alashvili,1990-03-20,22,Judo,Men's Lightweight,Georgia,,Male,Nugzar T\'at\'alashvili,180,73,"Gori, Shida Kartli, Georgia","41.9828244,44.1193356",,32T
Ana T\'at\'ishvili,1990-02-03,22,Tennis,Women's Singles,Georgia,,Female,Ana T\'at\'ishvili,171,62,"Tbilisi, Tbilisi, Georgia","41.7151377,44.827096",,17T
Ana T\'at\'ishvili,1990-02-03,22,Tennis,Women's Doubles,Georgia,,Female,Ana T\'at\'ishvili,171,62,"Tbilisi, Tbilisi, Georgia","41.7151377,44.827096",,17T
Wakako Tabata,1983-10-12,28,Sailing,Women's Two Person Dinghy,Japan,,Female,Wakako Tabata,166,70,"Yokohama, Kanagawa, Japan","35.4437078,139.6380256",,14
Haruka Tachimoto,1990-08-03,21,Judo,Women's Middleweight,Japan,,Female,Haruka Tachimoto,166,70,"Imizu, Toyama, Japan","36.7824552,137.0796145",,7T
Stacey Tadd,1989-02-21,23,Swimming,Women's 200 metres Breaststroke,Great Britain,,Female,Stacey Tadd,181,74,"Bath, Bath and North East Somerset, Grea","51.34955,-2.36532",,18
Zersenay Tadesse,1982-02-08,30,Athletics,"Men's 10,000 metres",Eritrea,,Male,Zersenay Tadesse Habtesilase,160,56,"Adi-Bara, Debub, Eritrea",,,6
Pat Taea,1993-05-25,19,Athletics,Women's 100 metres,Cook Islands,,Female,"Patricia Nooroa ""Pat"" Taea",164,62,"Rarotonga, Cook Islands","-21.2292371,-159.7763491",,3 h3 r1/4
Adnan Taess Akkar,1980-03-24,32,Athletics,Men's 800 metres,Iraq,,Male,Adnan Taess Akkar Al-Mntfage,165,78,"Wasit, Wasit, Iraq","32.6024094,45.7520985",,5 h6 r1/3
Joyce Tafatatha,1998-04-18,14,Swimming,Women's 50 metres Freestyle,Malawi,,Female,Joyce Tafatatha,168,68,"Blantyre, Blantyre, Malawi","-15.786111,35.005833",,47
Mehdi Taghavi,1987-02-20,25,Wrestling,"Men's Welterweight, Freestyle",Iran,,Male,Mehdi Taghavi Kermani,170,66,"Savadkuh County, Mazandaran, Iran","36.2262393,52.5318604",,14T
Kenichi Tago,1989-07-16,23,Badminton,Men's Singles,Japan,,Male,Kenichi Tago,174,70,"Shinagawa, Tokyo, Japan","35.6092261,139.7301861",,17T
Rima Taha Farid,1987-03-22,25,Athletics,Women's 100 metres,Jordan,,Female,Rima Taha Farid,175,60,"Amman, Amman, Jordan","31.9565783,35.9456951",,6 h1 r1/4
Serhiy Tahirov,1989-01-02,23,Weightlifting,Men's Heavyweight,Ukraine,,Male,Serhiy Alimahometovych Tahirov,179,105,"Dnipropetrovsk, Dnipropetrovsk, Ukraine","48.464717,35.046183",,10
Saman Tahmasebi,1985-07-26,26,Wrestling,"Men's Light-Heavyweight, Greco-Roman",Azerbaijan,,Male,Saman Tahmasebi,180,84,"Sanandaj, Kurdistan, Iran","35.3218748,46.9861647",,11
Tai Tzu-Ying,1994-06-20,18,Badminton,Women's Singles,Chinese Taipei,,Female,Tai Tzu-Ying,163,57,"Kaohsiung City, Kaohsiung, Chinese Taipe","23.0108714,120.6660044",,9T
Nur Suryani Mohd Taibi,1982-09-24,29,Shooting,"Women's Air Rifle, 10 metres",Malaysia,,Female,Nur Suryani Mohd Taibi,168,65,"Batu Gajah, Perak, Malaysia","4.469316,101.039688",,34
Kaspar Taimsoo,1987-04-30,25,Rowing,Men's Quadruple Sculls,Estonia,,Male,Kaspar Taimsoo,194,97,"Paide, J√É¬§rvamaa, Estonia","58.8871098,25.5699444",,4
Kriszti√É¬°n Tak√É¬°cs,1985-12-30,26,Swimming,Men's 50 metres Freestyle,Hungary,,Male,Kriszti√É¬°n Tak√É¬°cs,185,78,"Budapest, Budapest, Hungary","47.497912,19.040235",,12
Kriszti√É¬°n Tak√É¬°cs,1985-12-30,26,Swimming,Men's 4 x 100 metres Freestyle Relay,Hungary,,Male,Kriszti√É¬°n Tak√É¬°cs,185,78,"Budapest, Budapest, Hungary","47.497912,19.040235",,14
Orsolya Tak√É¬°cs,1985-05-20,27,Water Polo,Women's Water Polo,Hungary,,Female,Orsolya Tak√É¬°cs,190,83,"Budapest, Budapest, Hungary","47.497912,19.040235",,4
Kenji Takahashi,1982-08-21,29,Sailing,Men's Skiff,Japan,,Male,Kenji Takahashi,186,80,"Yokohama, Kanagawa, Japan","35.4437078,139.6380256",,18
Miho Takahashi,1992-12-01,19,Swimming,Women's 400 metres Individual Medley,Japan,,Female,Miho Takahashi,160,53,"Kyoto, Kyoto, Japan","35.0116363,135.7680294",,20
Shinji Takahira,1984-07-18,28,Athletics,Men's 200 metres,Japan,,Male,Shinji Takahira,180,62,"Asahikawa, Hokkaido, Japan","43.7706355,142.364819",,6 h3 r2/3
Shinji Takahira,1984-07-18,28,Athletics,Men's 4 x 100 metres Relay,Japan,,Male,Shinji Takahira,180,62,"Asahikawa, Hokkaido, Japan","43.7706355,142.364819",,5
Ken Takakuwa,1985-03-25,27,Swimming,Men's 200 metres Individual Medley,Japan,,Male,Ken Takakuwa,177,79,"Susono, Shizuoka, Japan","35.1738825,138.9067292",,6
Aya Takano,1994-03-14,18,Swimming,Women's 400 metres Freestyle,Japan,,Female,Aya Takano,164,54,"Osaka, Osaka, Japan","34.6937378,135.5021651",,26
Aya Takano,1994-03-14,18,Swimming,Women's 4 x 200 metres Freestyle Relay,Japan,,Female,Aya Takano,164,54,"Osaka, Osaka, Japan","34.6937378,135.5021651",,8
Kei Takase,1988-11-25,23,Athletics,Men's 200 metres,Japan,,Male,Kei Takase,179,62,"Shizuoka, Shizuoka, Japan","34.975562,138.3827596",,8 h1 r2/3
Kei Takase,1988-11-25,23,Athletics,Men's 4 x 400 metres Relay,Japan,,Male,Kei Takase,179,62,"Shizuoka, Shizuoka, Japan","34.975562,138.3827596",,6 h2 r1/2
Megumi Takase,1990-11-10,21,Football,Women's Football,Japan,Silver,Female,Megumi Takase,164,63,"Abashiri, Hokkaido, Japan","44.0206319,144.2733983",,2
Sohsuke Takatani,1989-04-05,23,Wrestling,"Men's Middleweight, Freestyle",Japan,,Male,Sohsuke Takatani,177,74,,,,15
Daisaku Takeda,1973-12-05,38,Rowing,Men's Lightweight Double Sculls,Japan,,Male,Daisaku Takeda,178,73,"Iyo, Ehime, Japan","33.7574293,132.7037292",,12
Reiko Takeda,1984-12-14,27,Equestrianism,"Mixed Jumping, Individual",Japan,,Female,Reiko Takeda,151,49,"Chicago, Illinois, United States","41.8781136,-87.6297982",,70
Yoshie Takeshita,1978-03-18,34,Volleyball,Women's Volleyball,Japan,Bronze,Female,Yoshie Takeshita,159,53,"Kitakyushu, Fukuoka, Japan","33.8834093,130.8752161",,3
Nooa Takooa,1993-03-10,19,Athletics,Men's 100 metres,Kiribati,,Male,Nooa Takooa,160,67,"Tarawa, Kiribati, Kiribati","1.3290526,172.9790528",,7 h4 r1/4
Darya Talanova,1995-12-08,16,Swimming,Women's 200 metres Breaststroke,Kyrgyzstan,,Female,Darya Talanova,168,52,"Bishkek, Bishkek, Kyrgyzstan","43.061667,74.478333",,34
Alina Talay,1989-05-14,23,Athletics,Women's 100 metres Hurdles,Belarus,,Female,Alina Gennadyevna Talay,164,54,"Orsha, Vitebsk, Belarus","54.509167,30.425833",,4 h1 r2/3
Alina Talay,1989-05-14,23,Athletics,Women's 4 x 100 metres Relay,Belarus,,Female,Alina Gennadyevna Talay,164,54,"Orsha, Vitebsk, Belarus","54.509167,30.425833",,7 h2 r1/2
Danny Talbot,1991-05-01,21,Athletics,Men's 4 x 100 metres Relay,Great Britain,,Male,"Daniel Peter ""Danny"" Talbot",184,69,"Salisbury, Wiltshire, Great Britain","51.068785,-1.794472",,AC
Brahim Taleb,1981-12-16,30,Athletics,"Men's 3,000 metres Steeplechase",Morocco,,Male,Brahim Taleb,182,70,"Rabat, Rabat-Sal√É¬©-Zemmour-Zaer, Morocco","34.020882,-6.84165",,11
Ahmad Reza Talebian,1989-05-19,23,Canoeing,"Men's Kayak Singles, 1,000 metres",Iran,,Male,Ahmad Reza Talebian,185,79,"Isfahan, Isfahan, Iran","32.6546275,51.6679826",,19
 Talita,1982-08-29,29,Beach Volleyball,Women's Beach Volleyball,Brazil,,Female,Talita Antunes da Rocha,181,62,"Aquidauana, Mato Grosso do Sul, Brazil","-20.4670046,-55.7872944",,9T
Sa√Ö¬°o Taljat,1989-09-22,22,Canoeing,"Men's Canadian Doubles, Slalom",Slovenia,,Male,Sa√Ö¬°o Taljat,173,70,"√Ö¬†empeter pri Gorici, √Ö¬†empeter-Vrtojba,",,,8
Jared Tallent,1984-10-17,27,Athletics,Men's 20 kilometres Walk,Australia,,Male,Jared Tallent,178,58,"Ballarat, Victoria, Australia","-37.5636495,143.8671868",,7
Jared Tallent,1984-10-17,27,Athletics,Men's 50 kilometres Walk,Australia,Silver,Male,Jared Tallent,178,58,"Ballarat, Victoria, Australia","-37.5636495,143.8671868",,2
Evelin Talts,1977-06-18,35,Athletics,Women's Marathon,Estonia,,Female,Evelin Talts,158,54,"Tallinn, Harjumaa, Estonia","59.4369608,24.7535746",,102
Jayanta Talukdar,1986-03-02,26,Archery,Men's Individual,India,,Male,Jayanta Talukdar,,,"Guwahati, Assam, India","26.1445169,91.7362365",,33T
Jayanta Talukdar,1986-03-02,26,Archery,Men's Team,India,,Male,Jayanta Talukdar,,,"Guwahati, Assam, India","26.1445169,91.7362365",,9T
Lauren Tamayo,1983-10-25,28,Cycling,"Women's Team Pursuit, 3,000 metres",United States,Silver,Female,Lauren Tamayo (Franges-),175,65,"Bethlehem, Pennsylvania, United States","40.6259316,-75.3704579",,2
Gianmarco Tamberi,1992-07-01,20,Athletics,Men's High Jump,Italy,,Male,Gianmarco Tamberi,189,71,"Civitanova Marche, Macerata, Italy","43.3048492,13.7218351",,21T  r1/2
Patrick Tambw√É¬© Ngoie,1975-05-05,37,Athletics,Men's Marathon,France,,Male,Patrick Tambw√É¬© Ngoie,182,68,"Kinshasa, Kinshasa, Congo (Kinshasa)","-4.331667,15.313889",,AC
Aleksander Tammert,1973-02-02,39,Athletics,Men's Discus Throw,Estonia,,Male,Aleksander Tammert,196,120,"Tartu, Tartumaa, Estonia","58.3806852,26.7250152",,27 r1/2
Sonata Tamo√Ö¬°aityt√Ñ‚Äî,1987-06-28,25,Athletics,Women's 100 metres Hurdles,Lithuania,,Female,Sonata Tamo√Ö¬°aityt√Ñ‚Äî,172,58,"Kaunas, Kaunas, Lithuania","54.8985207,23.9035965",,5 h5 r1/3
Giannis Tamouridis,1980-06-03,32,Cycling,"Men's Road Race, Individual",Greece,,Male,Giannis Tamouridis,180,74,"Thessaloniki, Thessalia, Greece","39.8750742,23.2511654",,110
Tan Boon Heong,1987-09-18,24,Badminton,Men's Doubles,Malaysia,,Male,Tan Boon Heong,181,75,"Alor Setar, Kedah, Malaysia","6.119359,100.36769",,4
Tan Jian,1988-01-20,24,Athletics,Women's Discus Throw,China,,Female,Tan Jian,178,80,"Chengdu, Sichuan, China","30.572269,104.066541",,AC
Lianne Tan,1990-11-20,21,Badminton,Women's Singles,Belgium,,Female,Lianne Tan,160,57,"Bilzen, Limburg, Belgium","50.8718971,5.5167162",,17T
Vivian Tan,1977-09-17,34,Table Tennis,Women's Team,Australia,,Female,Vivian Tan,165,60,"Shanghai, Shanghai, China","31.230416,121.473701",,9T
Tan Ya-Ting,1993-11-07,18,Archery,Women's Individual,Chinese Taipei,,Female,Tan Ya-Ting,159,56,"Hsinchu, Taiwan, Chinese Taipei","24.8039455,120.9646866",,9T
Tan Ya-Ting,1993-11-07,18,Archery,Women's Team,Chinese Taipei,,Female,Tan Ya-Ting,159,56,"Hsinchu, Taiwan, Chinese Taipei","24.8039455,120.9646866",,5
Yuhan Tan,1987-04-21,25,Badminton,Men's Singles,Belgium,,Male,Yuhan Tan,182,75,"Bilzen, Limburg, Belgium","50.8718971,5.5167162",,33T
Tan Zongliang,1971-10-29,40,Shooting,"Men's Air Pistol, 10 metres",China,,Male,Tan Zongliang,179,86,"Weifang, Shandong, China","36.706774,119.161756",,12
Wenling Tan Monfardini,1972-10-28,39,Table Tennis,Women's Singles,Italy,,Female,Wenling Tan Monfardini,152,45,"Hunan, China","28.112444,112.98381",,33T
Asuna Tanaka,1988-04-23,24,Football,Women's Football,Japan,Silver,Female,Asuna Tanaka,164,52,"Osaka, Osaka, Japan","34.6937378,135.5021651",,2
Izuki Tanaka,1992-04-07,20,Hockey,Women's Hockey,Japan,,Female,Izuki Tanaka,167,60,"Iwate, Iwate, Japan","39.9725899,141.2125163",,9
Kazuhito Tanaka,1985-05-16,27,Gymnastics,Men's Individual All-Around,Japan,,Male,Kazuhito Tanaka,166,,"Wakayama, Wakayama, Japan","34.2305113,135.1708083",,6
Kazuhito Tanaka,1985-05-16,27,Gymnastics,Men's Team All-Around,Japan,Silver,Male,Kazuhito Tanaka,166,,"Wakayama, Wakayama, Japan","34.2305113,135.1708083",,2
Kazuhito Tanaka,1985-05-16,27,Gymnastics,Men's Floor Exercise,Japan,,Male,Kazuhito Tanaka,166,,"Wakayama, Wakayama, Japan","34.2305113,135.1708083",,61 r1/2
Kazuhito Tanaka,1985-05-16,27,Gymnastics,Men's Parallel Bars,Japan,,Male,Kazuhito Tanaka,166,,"Wakayama, Wakayama, Japan","34.2305113,135.1708083",,4
Kazuhito Tanaka,1985-05-16,27,Gymnastics,Men's Horizontal Bar,Japan,,Male,Kazuhito Tanaka,166,,"Wakayama, Wakayama, Japan","34.2305113,135.1708083",,30 r1/2
Kazuhito Tanaka,1985-05-16,27,Gymnastics,Men's Rings,Japan,,Male,Kazuhito Tanaka,166,,"Wakayama, Wakayama, Japan","34.2305113,135.1708083",,11 r1/2
Kazuhito Tanaka,1985-05-16,27,Gymnastics,Men's Pommelled Horse,Japan,,Male,Kazuhito Tanaka,166,,"Wakayama, Wakayama, Japan","34.2305113,135.1708083",,62 r1/2
Kotono Tanaka,1991-08-18,20,Rhythmic Gymnastics,Women's Group,Japan,,Female,Kotono Tanaka,166,40,"Beppu, Oita, Japan","33.28462,131.4912138",,7
Rie Tanaka,1987-06-11,25,Gymnastics,Women's Individual All-Around,Japan,,Female,Rie Tanaka,157,,"Wakayama, Wakayama, Japan","34.2305113,135.1708083",,16
Rie Tanaka,1987-06-11,25,Gymnastics,Women's Team All-Around,Japan,,Female,Rie Tanaka,157,,"Wakayama, Wakayama, Japan","34.2305113,135.1708083",,8
Rie Tanaka,1987-06-11,25,Gymnastics,Women's Floor Exercise,Japan,,Female,Rie Tanaka,157,,"Wakayama, Wakayama, Japan","34.2305113,135.1708083",,46 r1/2
Rie Tanaka,1987-06-11,25,Gymnastics,Women's Uneven Bars,Japan,,Female,Rie Tanaka,157,,"Wakayama, Wakayama, Japan","34.2305113,135.1708083",,14 r1/2
Rie Tanaka,1987-06-11,25,Gymnastics,Women's Balance Beam,Japan,,Female,Rie Tanaka,157,,"Wakayama, Wakayama, Japan","34.2305113,135.1708083",,36 r1/2
Toshiyuki Tanaka,1985-02-02,27,Equestrianism,"Mixed Three-Day Event, Individual",Japan,,Male,Toshiyuki Tanaka,170,65,"Fukuoka, Fukuoka, Japan","33.5903547,130.4017155",,48
Toshiyuki Tanaka,1985-02-02,27,Equestrianism,"Mixed Three-Day Event, Team",Japan,,Male,Toshiyuki Tanaka,170,65,"Fukuoka, Fukuoka, Japan","33.5903547,130.4017155",,12
Yusuke Tanaka,1989-11-29,22,Gymnastics,Men's Team All-Around,Japan,Silver,Male,Yusuke Tanaka,166,,"Wakayama, Wakayama, Japan","34.2305113,135.1708083",,2
Yusuke Tanaka,1989-11-29,22,Gymnastics,Men's Parallel Bars,Japan,,Male,Yusuke Tanaka,166,,"Wakayama, Wakayama, Japan","34.2305113,135.1708083",,8
Yusuke Tanaka,1989-11-29,22,Gymnastics,Men's Horizontal Bar,Japan,,Male,Yusuke Tanaka,166,,"Wakayama, Wakayama, Japan","34.2305113,135.1708083",,36 r1/2
Yusuke Tanaka,1989-11-29,22,Gymnastics,Men's Rings,Japan,,Male,Yusuke Tanaka,166,,"Wakayama, Wakayama, Japan","34.2305113,135.1708083",,17 r1/2
Akzhurek Tanatarov,1986-09-03,25,Wrestling,"Men's Welterweight, Freestyle",Kazakhstan,Bronze,Male,Akzhurek Dostykovich Tanatarov,170,66,"Taraz, Zhambyl, Kazakhstan","42.9,71.366667",,3T
Liam Tancock,1985-05-07,27,Swimming,Men's 100 metres Backstroke,Great Britain,,Male,Liam John Tancock,183,81,"Exeter, Devon, Great Britain","50.718412,-3.533899",,5
Liam Tancock,1985-05-07,27,Swimming,Men's 4 x 100 metres Medley Relay,Great Britain,,Male,Liam John Tancock,183,81,"Exeter, Devon, Great Britain","50.718412,-3.533899",,4
Melissa Tancredi,1981-12-27,30,Football,Women's Football,Canada,Bronze,Female,Melissa Palma Julie Tancredi,175,73,"Hamilton, Ontario, Canada","43.2500208,-79.8660914",,3
 Tandara,1988-10-30,23,Volleyball,Women's Volleyball,Brazil,Gold,Female,Tandara Caixeta,184,87,"Bras√É¬≠lia, Distrito Federal, Brazil","-15.7941454,-47.8825479",,1
Merlin Tandjigora,1990-04-06,22,Football,Men's Football,Gabon,,Male,Merlin Koumba Abdoulaye Tandjigora,174,68,"Mouila, Ngouni√É¬©, Gabon","-1.863889,11.0575",,12
Tang Bin,1986-04-25,26,Rowing,Women's Quadruple Sculls,China,,Female,Tang Bin,182,72,"Fengcheng, Liaoning, China","40.452322,124.066895",,5
Natasha Tang,1992-08-23,19,Swimming,Women's 10 kilometres Open Water,Hong Kong,,Female,Natasha Terri Wing Yung Tang,165,54,"Westminster, Greater London, Great Brita","51.5001754,-0.1332326",,20
Tang Peng,1981-02-04,31,Table Tennis,Men's Singles,Hong Kong,,Male,Tang Peng,177,74,"Beijing, Beijing, China","39.90403,116.407526",,33T
Tang Peng,1981-02-04,31,Table Tennis,Men's Team,Hong Kong,,Male,Tang Peng,177,74,"Beijing, Beijing, China","39.90403,116.407526",,4
Tang Yi,1993-01-08,19,Swimming,Women's 100 metres Freestyle,China,Bronze,Female,Tang Yi,177,70,"Shanghai, Shanghai, China","31.230416,121.473701",,3
Tang Yi,1993-01-08,19,Swimming,Women's 4 x 100 metres Freestyle Relay,China,,Female,Tang Yi,177,70,"Shanghai, Shanghai, China","31.230416,121.473701",,4
Tang Yi,1993-01-08,19,Swimming,Women's 4 x 200 metres Freestyle Relay,China,,Female,Tang Yi,177,70,"Shanghai, Shanghai, China","31.230416,121.473701",,6
Tang Yi,1993-01-08,19,Swimming,Women's 4 x 100 metres Medley Relay,China,,Female,Tang Yi,177,70,"Shanghai, Shanghai, China","31.230416,121.473701",,5
Tang Yik Chun,1986-06-23,26,Athletics,Men's 4 x 100 metres Relay,Hong Kong,,Male,Tang Yik Chun,177,67,"Hong Kong, Hong Kong, Hong Kong","22.2824673,114.1615726",,8 h2 r1/2
Takayuki Tanii,1983-02-14,29,Athletics,Men's 50 kilometres Walk,Japan,,Male,Takayuki Tanii,167,56,"Namerikawa, Toyama, Japan","36.7643778,137.3411906",,AC
Yekaterina Tankeyeva,1989-06-28,23,Water Polo,Women's Water Polo,Russia,,Female,Yekaterina Ivanovna Tankeyeva,168,65,"Moscow, Moskva, Russia","55.755826,37.6173",,6
Bahri Tanr√Ñ¬±kulu,1980-03-16,32,Taekwondo,Men's Heavyweight,Turkey,,Male,Bahri Tanr√Ñ¬±kulu,185,80,"Mu√Ñ≈∏la, Mu√Ñ≈∏la, Turkey","37.215278,28.363611",,5T
Napalai Tansai,1982-05-20,30,Sailing,Women's Windsurfer,Thailand,,Female,Napalai Tansai,173,57,"Pattaya, Chonburi, Thailand","12.9276082,100.8770813",,24
Tao Li,1990-01-10,22,Swimming,Women's 100 metres Backstroke,Singapore,,Female,Tao Li,160,58,"Wuhan, Hubei, China","30.593099,114.305393",,26
Tao Li,1990-01-10,22,Swimming,Women's 100 metres Butterfly,Singapore,,Female,Tao Li,160,58,"Wuhan, Hubei, China","30.593099,114.305393",,10
Anouer Taouerghi,1983-08-17,28,Volleyball,Men's Volleyball,Tunisia,,Male,Anouer Taouerghi,178,77,"Tunis, Tunis, Tunisia","36.8064948,10.1815316",,11T
Sylvie Tara-Agoue,1988-05-30,24,Wrestling,"Women's Middleweight, Freestyle",Central African Republic,,Female,Sylvie Datty-Ngonga Tara-Agoue,163,,"Begoua, Bangui, Central African Republic","4.366667,18.583333",,20
Aleksandr Tarabrin,1985-04-24,27,Swimming,Men's 100 metres Backstroke,Kazakhstan,,Male,Aleksandr Tarabrin,188,75,"Volgograd, Volgograd, Russia","48.7,44.516667",,38
Aleksandr Tarabrin,1985-04-24,27,Swimming,Men's 200 metres Backstroke,Kazakhstan,,Male,Aleksandr Tarabrin,188,75,"Volgograd, Volgograd, Russia","48.7,44.516667",,31
Romy Tarangul,1987-10-19,24,Judo,Women's Half-Lightweight,Germany,,Female,Romy Tarangul,160,54,"Frankfurt an der Oder, Brandenburg, Germ","52.6068898,14.4386858",,9T
Luigi Tarantino,1972-11-10,39,Fencing,"Men's Sabre, Individual",Italy,,Male,Luigi Tarantino,188,95,"Napoli, Napoli, Italy","40.8517746,14.2681244",,20
Luigi Tarantino,1972-11-10,39,Fencing,"Men's Sabre, Team",Italy,Bronze,Male,Luigi Tarantino,188,95,"Napoli, Napoli, Italy","40.8517746,14.2681244",,3
Kateryna Tarasenko,1987-08-06,24,Rowing,Women's Quadruple Sculls,Ukraine,Gold,Female,Kateryna Mykola√É¬Øvna Tarasenko,184,74,"Dnipropetrovsk, Dnipropetrovsk, Ukraine","48.464717,35.046183",,1
Farzad Tarash,1986-10-01,25,Wrestling,"Men's Lightweight, Freestyle",Australia,,Male,Farzad Tarash,165,60,"Tehran, Tehran, Iran","35.696111,51.423056",,19
Irina Tarasova,1987-04-15,25,Athletics,Women's Shot Put,Russia,,Female,Irina Ivanovna Tarasova,179,115,"Kovrov, Vladimir, Russia","56.366667,41.333333",,8
Yuliya Tarasova,1986-03-13,26,Athletics,Women's Long Jump,Uzbekistan,,Female,Yuliya Aleksandrovna Tarasova,174,66,"Toshkent, Toshkent Shahri, Uzbekistan","41.266667,69.216667",,AC
Marcin Tarczy√Ö‚Äûski,1990-09-10,21,Swimming,Men's 100 metres Backstroke,Poland,,Male,Marcin Tarczy√Ö‚Äûski,190,84,"Nowy Dw√É¬≥r, Mazowieckie, Poland","51.2367824,21.0125146",,27
Matt Targett,1985-12-24,26,Swimming,Men's 4 x 100 metres Freestyle Relay,Australia,,Male,"Matthew Stephen C. ""Matt"" Targett",198,90,"Chertsey, Surrey, Great Britain","51.386491,-0.509456",,4
Matt Targett,1985-12-24,26,Swimming,Men's 4 x 100 metres Medley Relay,Australia,Bronze,Male,"Matthew Stephen C. ""Matt"" Targett",198,90,"Chertsey, Surrey, Great Britain","51.386491,-0.509456",,3
Jeneba Tarmoh,1989-09-27,22,Athletics,Women's 4 x 100 metres Relay,United States,Gold,Female,Jeneba Sylvia Tarmoh,165,59,"Los Angeles, California, United States","34.0522342,-118.2436849",,1
Juraj Tarr,1979-02-18,33,Canoeing,"Men's Kayak Fours, 1,000 metres",Slovakia,,Male,Juraj Tarr,190,74,"Kom√É¬°rno, Nitra, Slovakia","47.7625785,18.1294132",,6
Roser Tarrag√É¬≥,1993-03-25,19,Water Polo,Women's Water Polo,Spain,Silver,Female,Roser Tarrag√É¬≥ Aymerich,170,59,"Barcelona, Barcelona, Spain","41.3850639,2.1734035",,2
